EntryNo,SrNo,AccCode,AccDesc,Amount,TrType,Debit,Credit,Remarks,Acc_No,UserNam,TRMode
BB2301-000283       ,2,000116,Monthly Saving Deposits,389120.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000283       ,3,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000089,1
BB2301-000284       ,1,000132,Net Paid - Deonar,218837.00,NULL,NULL,NULL,Bond No :-060300007,1617,NULL,NULL
BB2301-000285       ,1,000297,Interest Paid on - Fixed Deposits - Regular Deposit,320.00,NULL,NULL,NULL,FDR No7012352,1871,NULL,NULL
BB2301-000286       ,1,000099,Share Capital,9000.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000286       ,2,000116,Monthly Saving Deposits,395032.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000286       ,3,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000089,1
BB2301-000287       ,1,000131,Net Paid - Anik,189291.00,NULL,NULL,NULL,Bond No :-020300011,1616,NULL,NULL
BB2301-000288       ,1,000134,Net Paid - Oshiwara,538950.00,NULL,NULL,NULL,Bond No :-030100007,1619,NULL,NULL
BB2301-000289       ,1,000099,Share Capital,6600.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000289       ,2,000116,Monthly Saving Deposits,355630.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000289       ,3,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000089,1
BB2301-000290       ,1,000099,Share Capital,9000.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000290       ,2,000116,Monthly Saving Deposits,357005.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000290       ,3,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000089,1
BB2301-000291       ,1,000099,Share Capital,19000.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000291       ,2,000116,Monthly Saving Deposits,205132.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000291       ,3,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000089,1
BB2301-000292       ,1,000043,Medium Term Loan,3200.00,NULL,NULL,NULL,NULL,1512,9000075,1
BB2301-000292       ,2,000151,Interest on Mid-Term Loan,938.00,NULL,NULL,NULL,NULL,1636,9000075,1
BB2301-000293       ,1,000043,Medium Term Loan,5700.00,NULL,NULL,NULL,NULL,1512,9000075,1
BB2301-000293       ,2,000151,Interest on Mid-Term Loan,634.00,NULL,NULL,NULL,NULL,1636,9000075,1
BB2301-000294       ,1,000043,Medium Term Loan,7700.00,NULL,NULL,NULL,NULL,1512,9000075,1
BB2301-000294       ,2,000151,Interest on Mid-Term Loan,1617.00,NULL,NULL,NULL,NULL,1636,9000075,1
BB2301-000295       ,1,000299,Interest Paid on - Fixed Deposits - M.I.S.,250.00,NULL,NULL,NULL,FDR No7003333,1873,NULL,NULL
BB2301-000296       ,1,000299,Interest Paid on - Fixed Deposits - M.I.S.,650.00,NULL,NULL,NULL,FDR No7003334,1873,NULL,NULL
BB2301-000297       ,1,000253,Fixed Deposits - Regular Deposit,100000.00,NULL,NULL,NULL,FDR No :-7012455,1738,NULL,NULL
BB2301-000297       ,2,000297,Interest Paid on - Fixed Deposits - Regular Deposit,7000.00,NULL,NULL,NULL,FDR No :-7012455,1871,NULL,NULL
BB2301-000298       ,1,000267,Net Paid - Dadar,185200.00,NULL,NULL,NULL,Bond No :-080100018,1840,NULL,NULL
BB2301-000299       ,1,000130,Net Paid - Culaba,16313.00,NULL,NULL,NULL,FDR No :-38101,1615,NULL,NULL
BB2301-000300       ,1,000133,Net Paid - Majas,61512.00,NULL,NULL,NULL,Bond No :-040300004,1618,NULL,NULL
BB2301-000301       ,1,000048,Top-up Loan,50000.00,NULL,NULL,NULL,NULL,1517,9000091,1
BB2301-000302       ,1,000130,Net Paid - Culaba,137745.00,NULL,NULL,NULL,Bond No :-010100006,1615,NULL,NULL
BB2301-000303       ,1,000133,Net Paid - Majas,987575.00,NULL,NULL,NULL,Bond No :-040100006,1618,NULL,NULL
BB2301-000304       ,1,000048,Top-up Loan,10000.00,NULL,NULL,NULL,NULL,1517,9000142,1
BB2301-000305       ,1,000048,Top-up Loan,90400.00,NULL,NULL,NULL,NULL,1517,9000139,1
BB2301-000305       ,2,000042,Emergency Loan - 1 - October,5000.00,NULL,NULL,NULL,NULL,1511,9000139,1
BB2301-000305       ,3,000041,Emergency Loan - 2 - June,1000.00,NULL,NULL,NULL,NULL,1510,9000139,1
BB2301-000305       ,4,000043,Medium Term Loan,100000.00,NULL,NULL,NULL,NULL,1512,9000139,1
BB2301-000306       ,1,000133,Net Paid - Majas,485750.00,NULL,NULL,NULL,Bond No :-040100007,1618,NULL,NULL
BB2301-000307       ,1,000132,Net Paid - Deonar,126210.00,NULL,NULL,NULL,Bond No :-060300008,1617,NULL,NULL
BB2301-000308       ,1,000253,Fixed Deposits - Regular Deposit,200000.00,NULL,NULL,NULL,FDR No :-1000889,1738,NULL,NULL
BB2301-000309       ,1,000253,Fixed Deposits - Regular Deposit,200000.00,NULL,NULL,NULL,FDR No :-1000890,1738,NULL,NULL
BB2301-000310       ,1,000043,Medium Term Loan,6200.00,NULL,NULL,NULL,NULL,1512,9000075,1
BB2301-000310       ,2,000048,Top-up Loan,67500.00,NULL,NULL,NULL,NULL,1517,9000075,1
BB2301-000311       ,1,000254,Fixed Deposits - Senior Citizen,500000.00,NULL,NULL,NULL,FDR No :-3000433,1739,NULL,NULL
BB2301-000312       ,1,000130,Net Paid - Culaba,28000.00,NULL,NULL,NULL,FDR No :-7012436,1615,NULL,NULL
BB2301-000313       ,1,000130,Net Paid - Culaba,28000.00,NULL,NULL,NULL,FDR No :-7012437,1615,NULL,NULL
BB2301-000314       ,1,000130,Net Paid - Culaba,28000.00,NULL,NULL,NULL,FDR No :-7012438,1615,NULL,NULL
BB2301-000315       ,1,000130,Net Paid - Culaba,28000.00,NULL,NULL,NULL,FDR No :-7012439,1615,NULL,NULL
BB2301-000316       ,1,000043,Medium Term Loan,20000.00,NULL,NULL,NULL,NULL,1512,9000074,1
BB2301-000317       ,1,000043,Medium Term Loan,321500.00,NULL,NULL,NULL,NULL,1512,9000079,1
BB2301-000318       ,1,000043,Medium Term Loan,114000.00,NULL,NULL,NULL,NULL,1512,9000075,1
BB2301-000319       ,1,000332,Staff Saving Fund,125000.00,NULL,NULL,NULL,NULL,1907,9000147,1
BB2301-000320       ,1,000043,Medium Term Loan,290000.00,NULL,NULL,NULL,NULL,1512,9000075,1
BB2301-000321       ,1,000332,Staff Saving Fund,21708.00,NULL,NULL,NULL,NULL,1907,9000147,1
BB2301-000322       ,1,000332,Staff Saving Fund,260000.00,NULL,NULL,NULL,NULL,1907,9000147,1
BB2301-000323       ,1,000042,Emergency Loan - 1 - October,5000.00,NULL,NULL,NULL,NULL,1511,9000140,1
BB2301-000324       ,1,000134,Net Paid - Oshiwara,675200.00,NULL,NULL,NULL,Bond No :-030100008,1619,NULL,NULL
BB2301-000325       ,1,000134,Net Paid - Oshiwara,274017.00,NULL,NULL,NULL,Bond No :-030300008,1619,NULL,NULL
BB2301-000326       ,1,000267,Net Paid - Dadar,383825.00,NULL,NULL,NULL,Bond No :-080100019,1840,NULL,NULL
BB2301-000327       ,1,000048,Top-up Loan,49500.00,NULL,NULL,NULL,NULL,1517,9000143,2
BB2301-000327       ,2,000156,Interest on Top-up Loan,827.00,NULL,NULL,NULL,NULL,1641,9000143,1
BB2301-000328       ,1,000134,Net Paid - Oshiwara,196037.00,NULL,NULL,NULL,Bond No :-030300009,1619,NULL,NULL
BB2301-000329       ,1,000135,Net Paid - Mulund,48887.00,NULL,NULL,NULL,Bond No :-050100011,1620,NULL,NULL
BB2301-000330       ,1,000299,Interest Paid on - Fixed Deposits - M.I.S.,1000.00,NULL,NULL,NULL,FDR No2000008,1873,NULL,NULL
BB2301-000331       ,1,000043,Medium Term Loan,165000.00,NULL,NULL,NULL,NULL,1512,9000140,1
BB2301-000332       ,1,000043,Medium Term Loan,75000.00,NULL,NULL,NULL,NULL,1512,9000148,1
BB2301-000333       ,1,000298,Interest Paid on - Fixed Deposits - Senior Citizen,84.00,NULL,NULL,NULL,FDR No38090,1872,NULL,NULL
BB2301-000334       ,1,000298,Interest Paid on - Fixed Deposits - Senior Citizen,105.00,NULL,NULL,NULL,FDR No38091,1872,NULL,NULL
BB2301-000335       ,1,000298,Interest Paid on - Fixed Deposits - Senior Citizen,125.00,NULL,NULL,NULL,FDR No38096,1872,NULL,NULL
BB2301-000336       ,1,000048,Top-up Loan,161600.00,NULL,NULL,NULL,NULL,1517,9000062,1
BB2301-000337       ,1,000131,Net Paid - Anik,93438.00,NULL,NULL,NULL,Bond No :-020300012,1616,NULL,NULL
BB2301-000338       ,1,000043,Medium Term Loan,155000.00,NULL,NULL,NULL,NULL,1512,9000087,1
BB2301-000340       ,1,000099,Share Capital,18700.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000340       ,2,000116,Monthly Saving Deposits,320355.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000340       ,3,000043,Medium Term Loan,7000.00,NULL,NULL,NULL,NULL,1512,9000089,1
BB2301-000340       ,4,000151,Interest on Mid-Term Loan,135.00,NULL,NULL,NULL,NULL,1636,9000089,1
BB2301-000341       ,1,000099,Share Capital,10000.00,NULL,NULL,NULL,NULL,1584,9000144,1
BB2301-000341       ,2,000116,Monthly Saving Deposits,406333.00,NULL,NULL,NULL,NULL,1601,9000144,1
BB2301-000341       ,3,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000144,1
BB2301-000342       ,1,000043,Medium Term Loan,244000.00,NULL,NULL,NULL,NULL,1512,9000073,1
BB2301-000342       ,2,000048,Top-up Loan,40500.00,NULL,NULL,NULL,NULL,1517,9000073,1
BB2301-000342       ,3,000041,Emergency Loan - 2 - June,1000.00,NULL,NULL,NULL,NULL,1510,9000073,1
BB2301-000343       ,1,000131,Net Paid - Anik,288000.00,NULL,NULL,NULL,Bond No :-020100011,1616,NULL,NULL
BB2301-000344       ,1,000132,Net Paid - Deonar,293700.00,NULL,NULL,NULL,Bond No :-060100010,1617,NULL,NULL
BB2301-000345       ,1,000043,Medium Term Loan,100000.00,NULL,NULL,NULL,NULL,1512,9000138,1
BB2301-000346       ,1,000132,Net Paid - Deonar,635137.00,NULL,NULL,NULL,Bond No :-060100011,1617,NULL,NULL
BB2301-000347       ,1,000299,Interest Paid on - Fixed Deposits - M.I.S.,2500.00,NULL,NULL,NULL,FDR No2000011,1873,NULL,NULL
BB2301-000348       ,1,000131,Net Paid - Anik,369700.00,NULL,NULL,NULL,Bond No :-020100012,1616,NULL,NULL
BB2301-000349       ,1,000099,Share Capital,20000.00,NULL,NULL,NULL,NULL,1584,9000144,1
BB2301-000349       ,2,000116,Monthly Saving Deposits,205984.00,NULL,NULL,NULL,NULL,1601,9000144,1
BB2301-000349       ,3,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000144,1
BB2301-000350       ,1,000132,Net Paid - Deonar,106012.00,NULL,NULL,NULL,Bond No :-060300009,1617,NULL,NULL
BB2301-000351       ,1,000099,Share Capital,2500.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000351       ,2,000116,Monthly Saving Deposits,309363.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000351       ,3,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000089,1
BB2301-000352       ,1,000131,Net Paid - Anik,120533.00,NULL,NULL,NULL,Bond No :-020300013,1616,NULL,NULL
BB2301-000353       ,1,000043,Medium Term Loan,107600.00,NULL,NULL,NULL,NULL,1512,9000053,1
BB2301-000354       ,1,000099,Share Capital,11400.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000354       ,2,000116,Monthly Saving Deposits,163555.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000354       ,3,000236,Memento to Ex-Member,2500.00,NULL,NULL,NULL,NULL,1721,9000089,1
BB2301-000355       ,1,000267,Net Paid - Dadar,181434.00,NULL,NULL,NULL,Bond No :-080100020,1840,NULL,NULL
BB2301-000356       ,1,000267,Net Paid - Dadar,168037.00,NULL,NULL,NULL,Bond No :-080300012,1840,NULL,NULL
BB2301-000357       ,1,000099,Share Capital,11800.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000357       ,2,000116,Monthly Saving Deposits,168944.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000358       ,1,000131,Net Paid - Anik,96429.00,NULL,NULL,NULL,Bond No :-020300014,1616,NULL,NULL
BB2301-000359       ,1,000099,Share Capital,11700.00,NULL,NULL,NULL,NULL,1584,9000144,1
BB2301-000359       ,2,000116,Monthly Saving Deposits,167888.00,NULL,NULL,NULL,NULL,1601,9000144,1
BB2301-000360       ,1,000043,Medium Term Loan,40000.00,NULL,NULL,NULL,NULL,1512,9000073,1
BB2301-000361       ,1,000253,Fixed Deposits - Regular Deposit,30000.00,NULL,NULL,NULL,FDR No :-1000895,1738,NULL,NULL
BB2301-000362       ,1,000099,Share Capital,19700.00,NULL,NULL,NULL,NULL,1584,9000144,1
BB2301-000362       ,2,000116,Monthly Saving Deposits,353032.00,NULL,NULL,NULL,NULL,1601,9000144,1
BB2301-000363       ,1,000099,Share Capital,18800.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000363       ,2,000116,Monthly Saving Deposits,216138.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000364       ,1,000099,Share Capital,19800.00,NULL,NULL,NULL,NULL,1584,9000144,1
BB2301-000364       ,2,000116,Monthly Saving Deposits,236310.00,NULL,NULL,NULL,NULL,1601,9000144,1
BB2301-000365       ,1,000134,Net Paid - Oshiwara,320472.00,NULL,NULL,NULL,Bond No :-030100009,1619,NULL,NULL
BB2301-000366       ,1,000231,Other Bank Loan,261795.00,NULL,NULL,NULL,Bond No:-030100009,1716,NULL,NULL
BB2301-000367       ,1,000043,Medium Term Loan,25000.00,NULL,NULL,NULL,NULL,1512,9000148,1
BB2301-000368       ,1,000099,Share Capital,20000.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000368       ,2,000116,Monthly Saving Deposits,298384.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000369       ,1,000099,Share Capital,11400.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000369       ,2,000116,Monthly Saving Deposits,164768.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000370       ,1,000134,Net Paid - Oshiwara,7000.00,NULL,NULL,NULL,FDR No :-7012420,1619,NULL,NULL
BB2301-000371       ,1,000099,Share Capital,15700.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000371       ,2,000116,Monthly Saving Deposits,186084.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000373       ,1,000130,Net Paid - Culaba,619575.00,NULL,NULL,NULL,Bond No :-010100007,1615,NULL,NULL
BB2301-000374       ,1,000134,Net Paid - Oshiwara,193733.00,NULL,NULL,NULL,Bond No :-030300010,1619,NULL,NULL
BB2301-000375       ,1,000099,Share Capital,8200.00,NULL,NULL,NULL,NULL,1584,9000144,1
BB2301-000375       ,2,000116,Monthly Saving Deposits,369924.00,NULL,NULL,NULL,NULL,1601,9000144,1
BB2301-000376       ,1,000099,Share Capital,20000.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000376       ,2,000116,Monthly Saving Deposits,277933.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000376       ,3,000043,Medium Term Loan,8400.00,NULL,NULL,NULL,NULL,1512,9000089,1
BB2301-000376       ,4,000151,Interest on Mid-Term Loan,306.00,NULL,NULL,NULL,NULL,1636,9000089,1
BB2301-000376       ,5,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000089,1
BB2301-000377       ,1,000099,Share Capital,20000.00,NULL,NULL,NULL,NULL,1584,9000144,1
BB2301-000377       ,2,000116,Monthly Saving Deposits,245341.00,NULL,NULL,NULL,NULL,1601,9000144,1
BB2301-000377       ,3,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000144,1
BB2301-000378       ,1,000130,Net Paid - Culaba,271515.00,NULL,NULL,NULL,Bond No :-010300011,1615,NULL,NULL
BB2301-000379       ,1,000099,Share Capital,20000.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000379       ,2,000116,Monthly Saving Deposits,232185.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000379       ,3,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000089,1
BB2301-000380       ,1,000130,Net Paid - Culaba,73729.00,NULL,NULL,NULL,Bond No :-010300012,1615,NULL,NULL
BB2301-000381       ,1,000277,78TH DIVIDEND,1125.00,NULL,NULL,NULL,NULL,1850,9000089,2
BB2301-000381       ,2,000337,79TH DIVIDEND,1125.00,NULL,NULL,NULL,NULL,1912,9000089,1
BB2301-000381       ,3,000371,80TH DIVIDEND,1125.00,NULL,NULL,NULL,NULL,1947,9000089,1
BB2301-000382       ,1,000267,Net Paid - Dadar,110062.00,NULL,NULL,NULL,Bond No :-080100021,1840,NULL,NULL
BB2301-000383       ,1,000130,Net Paid - Culaba,392825.00,NULL,NULL,NULL,Bond No :-010100008,1615,NULL,NULL
BB2301-000384       ,1,000099,Share Capital,12000.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000384       ,2,000116,Monthly Saving Deposits,412821.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000384       ,3,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000089,1
BB2301-000385       ,1,000267,Net Paid - Dadar,206762.00,NULL,NULL,NULL,Bond No :-080100022,1840,NULL,NULL
BB2301-000386       ,1,000133,Net Paid - Majas,145731.00,NULL,NULL,NULL,Bond No :-040300005,1618,NULL,NULL
BB2301-000387       ,1,000267,Net Paid - Dadar,228878.00,NULL,NULL,NULL,Bond No :-080100023,1840,NULL,NULL
BB2301-000388       ,1,000099,Share Capital,18600.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000388       ,2,000116,Monthly Saving Deposits,313607.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000388       ,3,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000089,1
BB2301-000389       ,1,000130,Net Paid - Culaba,7250.00,NULL,NULL,NULL,FDR No :-38114,1615,NULL,NULL
BB2301-000390       ,1,000267,Net Paid - Dadar,33532.00,NULL,NULL,NULL,Bond No :-080100024,1840,NULL,NULL
BB2301-000391       ,1,000371,80TH DIVIDEND,3000.00,NULL,NULL,NULL,NULL,1947,9000089,1
BB2301-000392       ,1,000130,Net Paid - Culaba,1400.00,NULL,NULL,NULL,FDR No :-7012404,1615,NULL,NULL
BB2301-000393       ,1,000135,Net Paid - Mulund,144637.00,NULL,NULL,NULL,Bond No :-050300008,1620,NULL,NULL
BB2301-000394       ,1,000297,Interest Paid on - Fixed Deposits - Regular Deposit,25.00,NULL,NULL,NULL,FDR No7012404,1871,NULL,NULL
BB2301-000395       ,1,000267,Net Paid - Dadar,135337.00,NULL,NULL,NULL,Bond No :-080300013,1840,NULL,NULL
BB2301-000396       ,1,000267,Net Paid - Dadar,193826.00,NULL,NULL,NULL,Bond No :-080300014,1840,NULL,NULL
BB2301-000397       ,1,000314,Leave Encashment,61456.00,NULL,NULL,NULL,NULL,1889,9000147,1
BB2301-000398       ,1,000099,Share Capital,2600.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000398       ,2,000116,Monthly Saving Deposits,27116.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000399       ,1,000130,Net Paid - Culaba,2900.00,NULL,NULL,NULL,FDR No :-38122,1615,NULL,NULL
BB2301-000400       ,1,000178,Leave Travel  Assistance,9000.00,NULL,NULL,NULL,NULL,1663,9000147,1
BB2301-000401       ,1,000130,Net Paid - Culaba,2900.00,NULL,NULL,NULL,FDR No :-38123,1615,NULL,NULL
BB2301-000402       ,1,000099,Share Capital,20000.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000402       ,2,000116,Monthly Saving Deposits,386062.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000403       ,1,000178,Leave Travel  Assistance,6700.00,NULL,NULL,NULL,NULL,1663,9000147,1
BB2301-000404       ,1,000178,Leave Travel  Assistance,6700.00,NULL,NULL,NULL,NULL,1663,9000147,1
BB2301-000405       ,1,000178,Leave Travel  Assistance,6700.00,NULL,NULL,NULL,NULL,1663,9000147,1
BB2301-000406       ,1,000043,Medium Term Loan,150000.00,NULL,NULL,NULL,NULL,1512,9000079,1
BB2301-000407       ,1,000043,Medium Term Loan,244000.00,NULL,NULL,NULL,NULL,1512,9000073,1
BB2301-000407       ,2,000151,Interest on Mid-Term Loan,1169.00,NULL,NULL,NULL,NULL,1636,9000073,1
BB2301-000407       ,3,000048,Top-up Loan,40500.00,NULL,NULL,NULL,NULL,1517,9000073,1
BB2301-000407       ,4,000156,Interest on Top-up Loan,190.00,NULL,NULL,NULL,NULL,1641,9000073,1
BB2301-000407       ,5,000041,Emergency Loan - 2 - June,1000.00,NULL,NULL,NULL,NULL,1510,9000073,1
BB2301-000407       ,6,000150,Interest on Emergency Loan - 2 - June,3.00,NULL,NULL,NULL,NULL,1635,9000073,1
BB2301-000408       ,1,000043,Medium Term Loan,497200.00,NULL,NULL,NULL,NULL,1512,9000079,1
BB2301-000409       ,1,000043,Medium Term Loan,214400.00,NULL,NULL,NULL,NULL,1512,9000064,1
BB2301-000409       ,2,000042,Emergency Loan - 1 - October,5000.00,NULL,NULL,NULL,NULL,1511,9000064,1
BB2301-000410       ,1,000267,Net Paid - Dadar,96950.00,NULL,NULL,NULL,Bond No :-080100025,1840,NULL,NULL
BB2301-000411       ,1,000130,Net Paid - Culaba,276868.00,NULL,NULL,NULL,Bond No :-010100009,1615,NULL,NULL
BB2301-000412       ,1,000130,Net Paid - Culaba,212137.00,NULL,NULL,NULL,Bond No :-010300013,1615,NULL,NULL
BB2301-000413       ,1,000156,Interest on Top-up Loan,896.00,NULL,NULL,NULL,NULL,1641,9000045,1
BB2301-000414       ,1,000134,Net Paid - Oshiwara,168333.00,NULL,NULL,NULL,Bond No :-030300011,1619,NULL,NULL
BB2301-000415       ,1,000043,Medium Term Loan,242000.00,NULL,NULL,NULL,NULL,1512,9000080,1
BB2301-000416       ,1,000133,Net Paid - Majas,160825.00,NULL,NULL,NULL,Bond No :-040100008,1618,NULL,NULL
BB2301-000417       ,1,000131,Net Paid - Anik,290000.00,NULL,NULL,NULL,Bond No :-020100013,1616,NULL,NULL
BB2301-000418       ,1,000043,Medium Term Loan,200000.00,NULL,NULL,NULL,NULL,1512,9000087,1
BB2301-000419       ,1,000253,Fixed Deposits - Regular Deposit,200000.00,NULL,NULL,NULL,FDR No :-7012459,1738,NULL,NULL
BB2301-000419       ,2,000297,Interest Paid on - Fixed Deposits - Regular Deposit,14000.00,NULL,NULL,NULL,FDR No :-7012459,1871,NULL,NULL
BB2301-000420       ,1,000131,Net Paid - Anik,194575.00,NULL,NULL,NULL,Bond No :-020100014,1616,NULL,NULL
BB2301-000422       ,1,000099,Share Capital,20000.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000422       ,2,000116,Monthly Saving Deposits,350141.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000422       ,3,000042,Emergency Loan - 1 - October,1000.00,NULL,NULL,NULL,NULL,1511,9000089,1
BB2301-000423       ,1,000135,Net Paid - Mulund,36500.00,NULL,NULL,NULL,Bond No :-050100012,1620,NULL,NULL
BB2301-000424       ,1,000099,Share Capital,15600.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000424       ,2,000116,Monthly Saving Deposits,371440.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000424       ,3,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000089,1
BB2301-000425       ,1,000099,Share Capital,20000.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000425       ,2,000116,Monthly Saving Deposits,296577.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000425       ,3,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000089,1
BB2301-000426       ,1,000132,Net Paid - Deonar,385225.00,NULL,NULL,NULL,Bond No :-060100012,1617,NULL,NULL
BB2301-000427       ,1,000135,Net Paid - Mulund,512337.00,NULL,NULL,NULL,Bond No :-050100013,1620,NULL,NULL
BB2301-000428       ,1,000134,Net Paid - Oshiwara,74834.00,NULL,NULL,NULL,Bond No :-030300012,1619,NULL,NULL
BB2301-000429       ,1,000099,Share Capital,19800.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000429       ,2,000116,Monthly Saving Deposits,354300.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000430       ,1,000043,Medium Term Loan,115325.00,NULL,NULL,NULL,NULL,1512,9000142,1
BB2301-000430       ,2,000151,Interest on Mid-Term Loan,30000.00,NULL,NULL,NULL,NULL,1636,9000142,1
BB2301-000430       ,3,000121,Dues to Members,20000.00,NULL,NULL,NULL,NULL,1606,9000142,1
BB2301-000431       ,1,000099,Share Capital,20000.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000431       ,2,000116,Monthly Saving Deposits,332874.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000432       ,1,000253,Fixed Deposits - Regular Deposit,100000.00,NULL,NULL,NULL,FDR No :-1000900,1738,NULL,NULL
BB2301-000432       ,2,000253,Fixed Deposits - Regular Deposit,50000.00,NULL,NULL,NULL,FDR No :-1000901,1738,NULL,NULL
BB2301-000432       ,3,000253,Fixed Deposits - Regular Deposit,50000.00,NULL,NULL,NULL,FDR No :-1000902,1738,NULL,NULL
BB2301-000432       ,4,000253,Fixed Deposits - Regular Deposit,50000.00,NULL,NULL,NULL,FDR No :-1000903,1738,NULL,NULL
BB2301-000432       ,5,000253,Fixed Deposits - Regular Deposit,50000.00,NULL,NULL,NULL,FDR No :-1000904,1738,NULL,NULL
BB2301-000433       ,1,000135,Net Paid - Mulund,140100.00,NULL,NULL,NULL,Bond No :-050100014,1620,NULL,NULL
BB2301-000434       ,1,000099,Share Capital,20000.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000434       ,2,000116,Monthly Saving Deposits,319751.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000434       ,3,000236,Memento to Ex-Member,5000.00,NULL,NULL,NULL,NULL,1721,9000089,1
BB2301-000435       ,1,000099,Share Capital,20000.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000435       ,2,000116,Monthly Saving Deposits,182721.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000436       ,1,000099,Share Capital,20000.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000436       ,2,000116,Monthly Saving Deposits,191790.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000437       ,1,000132,Net Paid - Deonar,145081.00,NULL,NULL,NULL,Bond No :-060300010,1617,NULL,NULL
BB2301-000438       ,1,000099,Share Capital,10500.00,NULL,NULL,NULL,NULL,1584,9000089,1
BB2301-000438       ,2,000116,Monthly Saving Deposits,351831.00,NULL,NULL,NULL,NULL,1601,9000089,1
BB2301-000439       ,1,000134,Net Paid - Oshiwara,192536.00,NULL,NULL,NULL,Bond No :-030300013,1619,NULL,NULL
